respondent_id,origin,route
1,Transplant,South
2,Madison native,Isthmus
3,Transplant,South
4,Transplant,North
5,Madison native,South
6,Greater Madison native,South
7,Greater Madison native,South
8,Madison native,Isthmus
9,Transplant,South
10,Transplant,Isthmus
11,Madison native,Isthmus
12,Greater Madison native,Isthmus
13,Greater Madison native,South
14,Greater Madison native,South
15,Transplant,South
16,Transplant,South
17,Madison native,South
18,Transplant,South
19,Madison native,South
20,Transplant,Isthmus
21,Madison native,Isthmus
22,Transplant,North
23,Madison native,Isthmus
24,Transplant,North
25,Transplant,Isthmus
26,Madison native,Isthmus
27,Madison native,Isthmus
28,Greater Madison native,South
29,Transplant,South
30,Transplant,Isthmus
31,Madison native,South
32,Greater Madison native,South
33,Transplant,North
34,Greater Madison native,South
35,Greater Madison native,South
36,Transplant,North
37,Transplant,South
38,Greater Madison native,South
39,Madison native,Isthmus
40,Madison native,South
41,Transplant,Isthmus
42,Transplant,South
43,Greater Madison native,Isthmus
44,Madison native,South
45,Madison native,Isthmus
46,Transplant,South
47,Madison native,Isthmus
48,Transplant,South
49,Transplant,Isthmus
50,Madison native,North
51,Madison native,Isthmus
52,Transplant,Isthmus
53,Greater Madison native,Isthmus
54,Madison native,Isthmus
55,Greater Madison native,North
56,Madison native,North
57,Greater Madison native,North
58,Madison native,North
59,Greater Madison native,South
60,Greater Madison native,South
61,Transplant,Isthmus
62,Madison native,Isthmus
63,Transplant,South
64,Greater Madison native,South
65,Transplant,South
66,Transplant,South
67,Madison native,Isthmus
68,Madison native,South
69,Transplant,North
70,Greater Madison native,South
71,Madison native,Isthmus
72,Greater Madison native,South
73,Madison native,South
74,Madison native,South
75,Transplant,Isthmus
76,Madison native,Isthmus
77,Transplant,South
78,Transplant,South
79,Transplant,Isthmus
80,Greater Madison native,Isthmus
81,Transplant,South
82,Greater Madison native,South
83,Madison native,Isthmus
84,Madison native,North
85,Madison native,Isthmus
86,Transplant,South
87,Greater Madison native,South
88,Greater Madison native,Isthmus
89,Greater Madison native,Isthmus
90,Transplant,South
91,Transplant,South
92,Greater Madison native,North
93,Greater Madison native,South
94,Madison native,North
95,Madison native,South
96,Transplant,North
97,Transplant,Isthmus
98,Madison native,South
99,Madison native,South
100,Greater Madison native,South
101,Madison native,Isthmus
102,Madison native,South
103,Greater Madison native,South
104,Madison native,North
105,Transplant,Isthmus
106,Transplant,South
107,Transplant,Isthmus
108,Madison native,South
